0, 0, Header, 1, 13, 96
1, 0, Start_track
1, 0, Title_t, "More"
1, 0, Copyright_t, "(C)1991 Roland Corporation"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 480000
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 34728, Tempo, 540540
1, 34776, Tempo, 588235
1, 34800, Tempo, 638297
1, 34920, Tempo, 750000
1, 34928, Tempo, 1714285
1, 34944, Tempo, 600000
1, 35712, End_track
2, 0, Start_track
2, 0, Title_t, "Soft Karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, Text_t, "@V0100"
2, 0, Text_t, "@ILyrics entered with WinKaraoke Creator 1.1"
2, 0, Text_t, "@ILyrics entered with WinKaraoke Creator 1.1"
2, 0, Text_t, "@ILyrics entered with WinKaraoke Creator 1.1"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TMORE(theme from Mondo Cane)--Andy Williams"
3, 0, Text_t, "@TKaraoked by Jim Smith"
3, 3456, Text_t, "\\More"
3, 3720, Text_t, " than"
3, 3768, Text_t, " the"
3, 3840, Text_t, " great"
3, 3912, Text_t, "est"
3, 4008, Text_t, " love"
3, 4104, Text_t, "/the"
3, 4200, Text_t, " world"
3, 4488, Text_t, " has"
3, 4584, Text_t, " known"
3, 4992, Text_t, "/this"
3, 5256, Text_t, " is"
3, 5304, Text_t, " the"
3, 5352, Text_t, " love"
3, 5472, Text_t, " I"
3, 5568, Text_t, " give"
3, 5664, Text_t, "/to"
3, 5760, Text_t, " you"
3, 6024, Text_t, " a"
3, 6144, Text_t, "lone"
3, 6504, Text_t, "\\More"
3, 6792, Text_t, " than"
3, 6840, Text_t, " the"
3, 6912, Text_t, " kind"
3, 7008, Text_t, "est"
3, 7104, Text_t, " words"
3, 7176, Text_t, "/I"
3, 7272, Text_t, " try"
3, 7560, Text_t, " to"
3, 7680, Text_t, " say"
3, 8064, Text_t, "/I"
3, 8352, Text_t, " on"
3, 8400, Text_t, "ly"
3, 8448, Text_t, " live"
3, 8544, Text_t, " to"
3, 8640, Text_t, " love"
3, 8712, Text_t, " you"
3, 8832, Text_t, "/more"
3, 9096, Text_t, " each"
3, 9216, Text_t, " day"
3, 9600, Text_t, "\\More"
3, 9864, Text_t, " than"
3, 9912, Text_t, " you'll"
3, 9960, Text_t, " ev"
3, 10056, Text_t, "er"
3, 10176, Text_t, " know"
3, 10248, Text_t, "/my"
3, 10344, Text_t, " arms"
3, 10632, Text_t, " long"
3, 10680, Text_t, " to"
3, 10728, Text_t, " hold"
3, 10824, Text_t, " you"
3, 10920, Text_t, " so"
3, 11016, Text_t, "/my"
3, 11112, Text_t, " life"
3, 11400, Text_t, " will"
3, 11448, Text_t, " be"
3, 11520, Text_t, " in"
3, 11616, Text_t, " your"
3, 11688, Text_t, " keep"
3, 11784, Text_t, "ing"
3, 11880, Text_t, "/al"
3, 11976, Text_t, "ways"
3, 12072, Text_t, " wait"
3, 12168, Text_t, "ing,"
3, 12264, Text_t, " nev"
3, 12360, Text_t, "er"
3, 12456, Text_t, " weep"
3, 12552, Text_t, "ing"
3, 12648, Text_t, "\\Lon"
3, 12936, Text_t, "ger"
3, 12984, Text_t, " than"
3, 13032, Text_t, " al"
3, 13152, Text_t, "ways"
3, 13224, Text_t, " is"
3, 13320, Text_t, " a"
3, 13416, Text_t, " long,"
3, 13704, Text_t, " long"
3, 13824, Text_t, " time"
3, 14184, Text_t, "/But"
3, 14472, Text_t, " far"
3, 14520, Text_t, " be"
3, 14568, Text_t, "yond"
3, 14688, Text_t, " for"
3, 14760, Text_t, "ev"
3, 14856, Text_t, "er"
3, 14976, Text_t, " you'll"
3, 15240, Text_t, " be"
3, 15360, Text_t, " mine"
3, 15720, Text_t, "\\I"
3, 16008, Text_t, " know"
3, 16056, Text_t, " I've"
3, 16104, Text_t, " nev"
3, 16224, Text_t, "er"
3, 16320, Text_t, " lived"
3, 16392, Text_t, " be"
3, 16488, Text_t, "fore"
3, 16776, Text_t, "/and"
3, 16824, Text_t, " my"
3, 16872, Text_t, " heart"
3, 16992, Text_t, " is"
3, 17064, Text_t, " ve"
3, 17160, Text_t, "ry"
3, 17256, Text_t, " sure"
3, 17544, Text_t, "/No"
3, 17592, Text_t, " one"
3, 17640, Text_t, " else"
3, 17760, Text_t, " can"
3, 17832, Text_t, " love"
3, 17928, Text_t, " you"
3, 18048, Text_t, " more"
3, 24960, Text_t, "\\More"
3, 25224, Text_t, " than"
3, 25272, Text_t, " you'll"
3, 25320, Text_t, " ev"
3, 25416, Text_t, "er"
3, 25536, Text_t, " know"
3, 25608, Text_t, "/my"
3, 25704, Text_t, " arms"
3, 25992, Text_t, " long"
3, 26040, Text_t, " to"
3, 26088, Text_t, " hold"
3, 26184, Text_t, " you"
3, 26280, Text_t, " so"
3, 26376, Text_t, "/My"
3, 26472, Text_t, " life"
3, 26760, Text_t, " will"
3, 26808, Text_t, " be"
3, 26880, Text_t, " in"
3, 26976, Text_t, " your"
3, 27048, Text_t, " keep"
3, 27144, Text_t, "ing"
3, 27240, Text_t, "/al"
3, 27336, Text_t, "ways"
3, 27432, Text_t, " wait"
3, 27528, Text_t, "ing,"
3, 27624, Text_t, " nev"
3, 27720, Text_t, "er"
3, 27816, Text_t, " weep"
3, 27912, Text_t, "ing"
3, 28008, Text_t, "\\Lon"
3, 28296, Text_t, "ger"
3, 28344, Text_t, " than"
3, 28392, Text_t, " al"
3, 28512, Text_t, "ways"
3, 28584, Text_t, " is"
3, 28680, Text_t, " a"
3, 28776, Text_t, " long"
3, 29064, Text_t, " long"
3, 29184, Text_t, " time"
3, 29544, Text_t, "/but"
3, 29832, Text_t, " far"
3, 29880, Text_t, " be"
3, 29928, Text_t, "yond"
3, 30048, Text_t, " for"
3, 30120, Text_t, "ev"
3, 30216, Text_t, "er"
3, 30336, Text_t, " you'll"
