0, 0, Header, 1, 16, 384
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 535714
1, 0, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Lyrics"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 0
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 1, 0
2, 40, Control_c, 0, 64, 0
2, 60, Control_c, 0, 91, 40
2, 80, Control_c, 0, 93, 0
2, 120, Pitch_bend_c, 0, 8192
2, 3469, Note_on_c, 0, 64, 105
2, 3469, Lyric_t, "HOW "
2, 3695, Note_on_c, 0, 64, 0
2, 3856, Note_on_c, 0, 67, 109
2, 3856, Lyric_t, "SWEET "
2, 4111, Note_on_c, 0, 67, 0
2, 4211, Note_on_c, 0, 64, 108
2, 4211, Lyric_t, "IT "
2, 4358, Note_on_c, 0, 64, 0
2, 4469, Note_on_c, 0, 71, 110
2, 4469, Lyric_t, "IS, "
2, 4709, Note_on_c, 0, 71, 0
2, 4860, Note_on_c, 0, 62, 110
2, 4860, Lyric_t, "TO "
2, 4928, Note_on_c, 0, 62, 0
2, 4989, Note_on_c, 0, 64, 104
2, 4989, Lyric_t, "BE "
2, 5179, Note_on_c, 0, 64, 0
2, 5247, Note_on_c, 0, 62, 104
2, 5247, Lyric_t, "LOV_ "
2, 5304, Note_on_c, 0, 62, 0
2, 5369, Note_on_c, 0, 67, 110
2, 5369, Lyric_t, "ED "
2, 5616, Note_on_c, 0, 67, 0
2, 5749, Note_on_c, 0, 69, 109
2, 5749, Lyric_t, "BY "
2, 6018, Note_on_c, 0, 69, 0
2, 6136, Note_on_c, 0, 67, 109
2, 6136, Lyric_t, "YOU. "
2, 6351, Note_on_c, 0, 67, 0
2, 9623, Note_on_c, 0, 64, 110
2, 9623, Lyric_t, "HOW "
2, 9842, Note_on_c, 0, 64, 0
2, 9999, Note_on_c, 0, 67, 109
2, 9999, Lyric_t, "SWEET "
2, 10261, Note_on_c, 0, 67, 0
2, 10376, Note_on_c, 0, 64, 108
2, 10376, Lyric_t, "IT "
2, 10519, Note_on_c, 0, 64, 0
2, 10641, Note_on_c, 0, 71, 105
2, 10641, Lyric_t, "IS "
2, 10867, Note_on_c, 0, 71, 0
2, 11006, Note_on_c, 0, 62, 108
2, 11006, Lyric_t, "TO "
2, 11078, Note_on_c, 0, 62, 0
2, 11143, Note_on_c, 0, 64, 105
2, 11143, Lyric_t, "BE "
2, 11358, Note_on_c, 0, 64, 0
2, 11394, Note_on_c, 0, 62, 108
2, 11394, Lyric_t, "LOV_ "
2, 11458, Note_on_c, 0, 62, 0
2, 11530, Note_on_c, 0, 67, 107
2, 11530, Lyric_t, "ED "
2, 11745, Note_on_c, 0, 67, 0
2, 11913, Note_on_c, 0, 69, 109
2, 11913, Lyric_t, "BY "
2, 12132, Note_on_c, 0, 69, 0
2, 12297, Note_on_c, 0, 67, 105
2, 12297, Lyric_t, "YOU. "
2, 12551, Note_on_c, 0, 67, 0
2, 15632, Note_on_c, 0, 67, 105
2, 15632, Lyric_t, "I "
2, 15707, Note_on_c, 0, 67, 0
2, 15764, Note_on_c, 0, 76, 109
2, 15764, Lyric_t, "NEED_ "
2, 15843, Note_on_c, 0, 76, 0
2, 15886, Note_on_c, 0, 74, 104
2, 15886, Lyric_t, "ED "
2, 15951, Note_on_c, 0, 74, 0
2, 15997, Note_on_c, 0, 71, 107
2, 15997, Lyric_t, "THE "
2, 16062, Note_on_c, 0, 71, 0
2, 16137, Note_on_c, 0, 74, 107
2, 16137, Lyric_t, "SHEL_ "
2, 16302, Note_on_c, 0, 74, 0
2, 16410, Note_on_c, 0, 76, 107
2, 16410, Lyric_t, "TER "
2, 16639, Note_on_c, 0, 76, 0
2, 16707, Note_on_c, 0, 74, 106
2, 16707, Lyric_t, "OF "
2, 16822, Note_on_c, 0, 74, 0
2, 16926, Note_on_c, 0, 71, 108
2, 16926, Lyric_t, "SOME_ "
2, 17044, Note_on_c, 0, 71, 0
2, 17180, Note_on_c, 0, 69, 104
2, 17180, Lyric_t, "ONE'S "
2, 17291, Note_on_c, 0, 69, 0
2, 17506, Note_on_c, 0, 67, 110
2, 17506, Lyric_t, "ARMS, "
2, 18409, Note_on_c, 0, 67, 0
2, 19069, Note_on_c, 0, 71, 108
2, 19069, Lyric_t, "THERE "
2, 19216, Note_on_c, 0, 71, 0
2, 19456, Note_on_c, 0, 67, 110
2, 19456, Lyric_t, "YOU "
2, 19571, Note_on_c, 0, 67, 0
2, 19822, Note_on_c, 0, 64, 110
2, 19822, Lyric_t, "WERE. "
2, 21076, Note_on_c, 0, 64, 0
2, 21779, Note_on_c, 0, 67, 104
2, 21779, Lyric_t, "I "
2, 21873, Note_on_c, 0, 67, 0
2, 21901, Note_on_c, 0, 76, 106
2, 21901, Lyric_t, "NEED_ "
2, 22002, Note_on_c, 0, 76, 0
2, 22002, Note_on_c, 0, 74, 103
2, 22002, Lyric_t, "ED "
2, 22109, Note_on_c, 0, 74, 0
2, 22141, Note_on_c, 0, 71, 104
2, 22141, Lyric_t, "SOME_ "
2, 22210, Note_on_c, 0, 71, 0
2, 22281, Note_on_c, 0, 74, 105
2, 22281, Lyric_t, "ONE "
2, 22464, Note_on_c, 0, 74, 0
2, 22529, Note_on_c, 0, 71, 105
2, 22529, Lyric_t, "TO "
2, 22615, Note_on_c, 0, 71, 0
2, 22661, Note_on_c, 0, 71, 107
2, 22661, Lyric_t, "UN_ "
2, 22812, Note_on_c, 0, 71, 0
2, 22908, Note_on_c, 0, 69, 103
2, 22908, Lyric_t, "DER_ "
2, 22977, Note_on_c, 0, 69, 0
2, 23048, Note_on_c, 0, 67, 106
2, 23048, Lyric_t, "STAND "
2, 23188, Note_on_c, 0, 67, 0
2, 23288, Note_on_c, 0, 69, 107
2, 23288, Lyric_t, "MY "
2, 23392, Note_on_c, 0, 69, 0
2, 23439, Note_on_c, 0, 71, 105
2, 23439, Lyric_t, "UP'S "
2, 23600, Note_on_c, 0, 71, 0
2, 23679, Note_on_c, 0, 67, 109
2, 23679, Lyric_t, "AND "
2, 23751, Note_on_c, 0, 67, 0
2, 23826, Note_on_c, 0, 64, 106
2, 23826, Lyric_t, "DO_ "
2, 24005, Note_on_c, 0, 64, 0
2, 24059, Note_on_c, 0, 62, 107
2, 24059, Lyric_t, "WNS, "
2, 24582, Note_on_c, 0, 62, 0
2, 25206, Note_on_c, 0, 71, 105
2, 25206, Lyric_t, "THERE "
2, 25335, Note_on_c, 0, 71, 0
2, 25586, Note_on_c, 0, 67, 107
2, 25586, Lyric_t, "YOU "
2, 25708, Note_on_c, 0, 67, 0
2, 25973, Note_on_c, 0, 64, 109
2, 25973, Lyric_t, "WE_ "
2, 26320, Note_on_c, 0, 64, 0
2, 26360, Note_on_c, 0, 67, 108
2, 26360, Lyric_t, "RE. "
2, 26492, Note_on_c, 0, 67, 0
2, 27906, Note_on_c, 0, 71, 109
2, 27906, Lyric_t, "WITH "
2, 28045, Note_on_c, 0, 71, 0
2, 28153, Note_on_c, 0, 74, 109
2, 28153, Lyric_t, "SWEET "
2, 28282, Note_on_c, 0, 74, 0
2, 28404, Note_on_c, 0, 76, 109
2, 28404, Lyric_t, "LOVE "
2, 28680, Note_on_c, 0, 76, 0
2, 28769, Note_on_c, 0, 74, 109
2, 28769, Lyric_t, "A "
2, 28974, Note_on_c, 0, 74, 0
2, 29035, Note_on_c, 0, 76, 107
2, 29035, Lyric_t, "DEV_ "
2, 29099, Note_on_c, 0, 76, 0
2, 29171, Note_on_c, 0, 69, 109
2, 29171, Lyric_t, "O_ "
2, 29328, Note_on_c, 0, 69, 0
2, 29429, Note_on_c, 0, 67, 110
2, 29429, Lyric_t, "TION, "
2, 30303, Note_on_c, 0, 67, 0
2, 30992, Note_on_c, 0, 71, 105
2, 30992, Lyric_t, "DEEP_ "
2, 31128, Note_on_c, 0, 71, 0
2, 31236, Note_on_c, 0, 74, 110
2, 31236, Lyric_t, "LY "
2, 31379, Note_on_c, 0, 74, 0
2, 31497, Note_on_c, 0, 76, 108
2, 31497, Lyric_t, "TOUCH_ "
2, 31666, Note_on_c, 0, 76, 0
2, 31755, Note_on_c, 0, 74, 105
2, 31755, Lyric_t, "ING "
2, 31913, Note_on_c, 0, 74, 0
2, 31988, Note_on_c, 0, 71, 104
2, 31988, Lyric_t, "MY "
2, 32056, Note_on_c, 0, 71, 0
2, 32110, Note_on_c, 0, 69, 104
2, 32110, Lyric_t, "E_ "
2, 32175, Note_on_c, 0, 69, 0
2, 32264, Note_on_c, 0, 64, 106
2, 32264, Lyric_t, "MO_ "
2, 32400, Note_on_c, 0, 64, 0
2, 32522, Note_on_c, 0, 67, 110
2, 32522, Lyric_t, "TIONS, "
2, 33189, Note_on_c, 0, 67, 0
2, 33271, Note_on_c, 0, 64, 104
2, 33271, Lyric_t, "I "
2, 33347, Note_on_c, 0, 64, 0
2, 33418, Note_on_c, 0, 67, 104
2, 33418, Lyric_t, "WAN_ "
2, 33590, Note_on_c, 0, 67, 0
2, 33655, Note_on_c, 0, 64, 103
2, 33655, Lyric_t, "NA "
2, 33709, Note_on_c, 0, 64, 0
2, 33791, Note_on_c, 0, 71, 107
2, 33791, Lyric_t, "STOP, "
2, 33949, Note_on_c, 0, 71, 0
2, 34798, Note_on_c, 0, 71, 108
2, 34798, Lyric_t, "AND "
2, 34863, Note_on_c, 0, 71, 0
2, 34945, Note_on_c, 0, 71, 109
2, 34945, Lyric_t, "THANK "
2, 35085, Note_on_c, 0, 71, 0
2, 35200, Note_on_c, 0, 69, 104
2, 35200, Lyric_t, "YOU "
2, 35268, Note_on_c, 0, 69, 0
2, 35339, Note_on_c, 0, 67, 110
2, 35339, Lyric_t, "BA_ "
2, 35468, Note_on_c, 0, 67, 0
2, 35576, Note_on_c, 0, 64, 109
2, 35576, Lyric_t, "BY, "
2, 35712, Note_on_c, 0, 64, 0
2, 36099, Note_on_c, 0, 71, 109
2, 36099, Lyric_t, "I "
2, 36246, Note_on_c, 0, 71, 0
2, 36325, Note_on_c, 0, 72, 108
2, 36325, Lyric_t, "WA_ "
2, 36400, Note_on_c, 0, 72, 0
2, 36465, Note_on_c, 0, 74, 108
2, 36465, Lyric_t, "N_ "
2, 36630, Note_on_c, 0, 74, 0
2, 36719, Note_on_c, 0, 72, 107
2, 36719, Lyric_t, "NA "
2, 36798, Note_on_c, 0, 72, 0
2, 36862, Note_on_c, 0, 71, 109
2, 36862, Lyric_t, "STOP, "
2, 37049, Note_on_c, 0, 71, 0
2, 37910, Note_on_c, 0, 62, 104
2, 37910, Lyric_t, "AND "
2, 37978, Note_on_c, 0, 62, 0
2, 38039, Note_on_c, 0, 71, 108
2, 38039, Lyric_t, "THANK "
2, 38168, Note_on_c, 0, 71, 0
2, 38290, Note_on_c, 0, 69, 107
2, 38290, Lyric_t, "YOU "
2, 38351, Note_on_c, 0, 69, 0
2, 38417, Note_on_c, 0, 67, 110
2, 38417, Lyric_t, "BA_ "
2, 38690, Note_on_c, 0, 67, 0
2, 38801, Note_on_c, 0, 69, 110
2, 38801, Lyric_t, "BY, "
2, 39012, Note_on_c, 0, 69, 0
2, 39561, Note_on_c, 0, 71, 109
2, 39561, Lyric_t, "YES "
2, 39668, Note_on_c, 0, 71, 0
2, 39783, Note_on_c, 0, 69, 105
2, 39783, Lyric_t, "I "
2, 39905, Note_on_c, 0, 69, 0
2, 40009, Note_on_c, 0, 67, 109
2, 40009, Lyric_t, "DO. "
2, 40235, Note_on_c, 0, 67, 0
2, 40335, Note_on_c, 0, 64, 107
